Test_ID,Predicted_Reference_Parameter,Validity_Label
TST-0242,21.2792,Valid
TST-0158,12.9438,Valid
TST-0078,45.2922,Valid
TST-0120,22.8217,Invalid
TST-0093,29.2642,Valid
TST-0051,15.9607,Valid
TST-0010,15.8052,Valid
TST-0013,51.7074,Valid
TST-0049,14.8949,Valid
TST-0041,17.3475,Valid
TST-0055,31.6605,Valid
TST-0012,20.4412,Valid
TST-0127,49.0331,Valid
TST-0225,26.7774,Valid
TST-0050,22.3496,Valid
TST-0172,38.3887,Invalid
TST-0079,33.2401,Valid
TST-0046,21.8352,Valid
TST-0325,18.0607,Valid
TST-0280,20.8578,Valid
TST-0140,14.9417,Valid
TST-0244,47.9726,Invalid
TST-0203,20.9355,Valid
TST-0238,18.452,Valid
TST-0092,28.4331,Valid
TST-0307,14.0952,Valid
TST-0176,28.4292,Valid
TST-0115,17.7225,Invalid
TST-0028,18.5468,Invalid
TST-0317,19.1244,Valid
TST-0251,38.0022,Valid
TST-0301,14.4491,Valid
TST-0116,37.7093,Valid
TST-0056,24.3763,Valid
TST-0166,26.736,Valid
TST-0247,32.3055,Valid
TST-0291,27.543,Valid
TST-0167,30.1934,Invalid
TST-0313,48.3977,Valid
TST-0105,13.984,Valid
TST-0104,20.758,Valid
TST-0045,34.8529,Valid
TST-0289,43.7435,Valid
TST-0048,26.4316,Valid
TST-0110,18.3063,Valid
TST-0037,43.4134,Invalid
TST-0305,18.6714,Valid
TST-0240,32.5459,Valid
TST-0155,34.1824,Valid
TST-0119,53.3056,Valid
TST-0295,24.0422,Valid
TST-0229,18.7229,Valid
TST-0106,21.4001,Valid
TST-0052,15.8056,Valid
TST-0276,21.5461,Invalid
TST-0216,21.6058,Valid
TST-0208,20.4016,Valid
TST-0188,21.6236,Valid
TST-0145,49.4529,Valid
TST-0039,21.4271,Valid
TST-0173,18.7503,Valid
TST-0082,20.404,Valid
TST-0296,36.6325,Valid
TST-0297,32.3212,Valid
TST-0125,17.5508,Valid
TST-0199,21.5672,Invalid
TST-0330,21.6167,Valid
TST-0133,35.1726,Valid
TST-0175,31.1678,Valid
TST-0270,45.7136,Valid
TST-0255,16.9524,Valid
TST-0025,13.7169,Valid
TST-0073,14.0521,Valid
TST-0077,20.6752,Valid
TST-0293,14.6115,Valid
TST-0212,33.4549,Invalid
TST-0081,13.9415,Valid
TST-0328,19.7927,Valid
TST-0290,49.2897,Invalid
TST-0337,16.6556,Valid
TST-0171,23.3555,Valid
TST-0057,29.6254,Valid
TST-0284,19.5007,Valid
TST-0063,24.8811,Invalid
TST-0022,21.7952,Valid
TST-0044,17.6925,Valid
TST-0035,24.2228,Valid
TST-0258,44.224,Invalid
TST-0334,27.148,Valid
TST-0018,27.5001,Valid
TST-0321,21.6277,Valid
TST-0282,14.6806,Valid
TST-0142,46.6374,Invalid
TST-0312,23.7972,Valid
TST-0101,22.2263,Valid
TST-0134,17.0034,Invalid
TST-0287,31.868,Valid
TST-0153,32.0588,Valid
TST-0299,30.9305,Valid
TST-0204,23.4224,Invalid
TST-0090,19.8256,Valid
TST-0186,33.68,Valid
TST-0209,48.4423,Valid
TST-0130,20.6603,Valid
TST-0224,22.9013,Valid
TST-0302,29.1455,Valid
TST-0118,15.6264,Valid
TST-0292,20.3519,Valid
TST-0345,22.3889,Invalid
TST-0108,28.2181,Valid
TST-0071,15.4676,Valid
TST-0053,15.9737,Valid
TST-0273,17.2538,Valid
TST-0300,15.0242,Valid
TST-0148,19.1814,Valid
TST-0347,38.9443,Valid
TST-0146,28.2655,Invalid
TST-0241,18.4139,Valid
TST-0096,17.0505,Valid
TST-0220,23.2137,Valid
TST-0174,22.1657,Valid
TST-0246,14.9593,Valid
TST-0136,18.8545,Valid
TST-0109,21.4814,Valid
TST-0040,38.1816,Valid
TST-0043,21.2487,Invalid
TST-0181,36.8947,Valid
TST-0268,17.3789,Valid
TST-0253,16.0074,Valid
TST-0017,24.8257,Valid
TST-0201,23.1633,Valid
TST-0129,16.5071,Valid
TST-0068,47.4517,Valid
TST-0161,15.0753,Valid
TST-0298,20.5128,Invalid
TST-0094,43.3584,Valid
TST-0336,27.1138,Invalid
TST-0149,19.926,Valid
TST-0191,48.8182,Valid
TST-0032,18.2602,Valid
TST-0054,16.183,Valid
TST-0349,58.1728,Valid
TST-0100,17.649,Valid
TST-0162,19.4189,Valid
TST-0326,23.1901,Invalid
TST-0340,19.5634,Valid
TST-0319,29.0254,Valid
TST-0064,18.6467,Valid
TST-0259,28.6785,Valid
TST-0066,43.6842,Valid
TST-0123,47.8809,Valid
TST-0218,20.5856,Valid
TST-0261,23.0043,Valid
TST-0196,20.8361,Valid
TST-0281,23.8378,Invalid
TST-0303,37.6283,Valid
TST-0254,22.826,Valid
TST-0322,18.194,Valid
TST-0139,17.0778,Valid
TST-0257,37.4466,Valid
TST-0033,16.6819,Valid
TST-0112,50.1889,Valid
TST-0021,24.0669,Valid
TST-0083,17.9758,Valid
TST-0150,25.1152,Valid
TST-0265,23.8615,Valid
TST-0227,33.7682,Valid
TST-0170,24.8627,Valid
TST-0318,30.7192,Valid
TST-0097,16.4559,Valid
TST-0152,34.275,Valid
TST-0084,58.1651,Valid
TST-0124,16.6019,Valid
TST-0098,32.9182,Valid
TST-0341,29.8178,Valid
TST-0042,31.584,Valid
TST-0189,19.543,Valid
TST-0285,23.089,Valid
TST-0020,21.9973,Valid
TST-0314,44.0884,Valid
